Field1,Field2,lift Score,,Sum of lift Score,Column Labels,,,,,,,,,,
acura,infiniti,3.374655647,,Row Labels,acura,audi,bmw,driving,infiniti,interior,lexus,luxury,performance,price,Grand Total
acura,lexus,2.324561404,,acura,0,2.337693798,1.256127451,1.434178744,3.374655647,1.360924683,2.324561404,1.963276836,1.597796143,1.785714286,17.43492899
acura,luxury,1.963276836,,audi,2.337693798,0,1.630594098,2.164433771,2.288343264,2.575308257,2.203182375,1.877217186,1.700941764,1.625018056,18.40273257
acura,price,1.785714286,,bmw,1.256127451,1.630594098,0,1.609883084,1.595162859,1.417009757,1.807828395,1.404714428,1.5782346,1.68817527,13.98772994
acura,performance,1.597796143,,driving,1.434178744,2.164433771,1.609883084,0,1.414840101,1.70216905,1.79252479,1.602800295,2.012217032,1.248987308,14.98203418
acura,driving,1.434178744,,infiniti,3.374655647,2.288343264,1.595162859,1.414840101,0,2.079982251,3.218790779,2.101134613,1.536780275,2.348442072,19.95813186
acura,interior,1.360924683,,interior,1.360924683,2.575308257,1.417009757,1.70216905,2.079982251,0,2.048746026,1.888294847,1.619612846,1.81333111,16.50537883
acura,audi,2.337693798,,lexus,2.324561404,2.203182375,1.807828395,1.79252479,3.218790779,2.048746026,0,2.426404996,1.757285776,1.830663616,19.40998816
acura,bmw,1.256127451,,luxury,1.963276836,1.877217186,1.404714428,1.602800295,2.101134613,1.888294847,2.426404996,0,3.731615072,2.131803348,19.12726162
audi,interior,2.575308257,,performance,1.597796143,1.700941764,1.5782346,2.012217032,1.536780275,1.619612846,1.757285776,3.731615072,0,1.755556696,17.2900402
audi,acura,2.337693798,,price,1.785714286,1.625018056,1.68817527,1.248987308,2.348442072,1.81333111,1.830663616,2.131803348,1.755556696,0,16.22769176
audi,infiniti,2.288343264,,Grand Total,17.43492899,18.40273257,13.98772994,14.98203418,19.95813186,16.50537883,19.40998816,19.12726162,17.2900402,16.22769176,173.3259181
audi,lexus,2.203182375,,,,,,,,,,,,,
audi,driving,2.164433771,,Column1,acura,audi,bmw,driving,infiniti,interior,lexus,luxury,performance,price,
